,index,track,rank,date
37,1243,3 Little Words,89.0,2000-06-24
38,1560,3 Little Words,94.0,2000-07-01
39,1877,3 Little Words,90.0,2000-07-08
40,2194,3 Little Words,99.0,2000-07-15
41,2511,3 Little Words,97.0,2000-07-22
42,2828,3 Little Words,98.0,2000-07-29
43,145,911,77.0,2000-10-07
44,462,911,74.0,2000-10-14
45,779,911,64.0,2000-10-21
46,1096,911,61.0,2000-10-28
47,1413,911,53.0,2000-11-04
48,1730,911,48.0,2000-11-11
49,2047,911,43.0,2000-11-18
50,2364,911,38.0,2000-11-25
51,2681,911,42.0,2000-12-02
52,2998,911,38.0,2000-12-09
53,3315,911,44.0,2000-12-16
54,3632,911,49.0,2000-12-23
55,3949,911,53.0,2000-12-30
56,4266,911,61.0,2001-01-06
57,4583,911,66.0,2001-01-13
58,4900,911,68.0,2001-01-20
59,5217,911,80.0,2001-01-27
60,5534,911,85.0,2001-02-03
61,5851,911,96.0,2001-02-10
62,260,A Country Boy Can Survive,93.0,2000-01-01
63,577,A Country Boy Can Survive,75.0,2000-01-08
64,894,A Country Boy Can Survive,92.0,2000-01-15
65,259,A Little Gasoline,75.0,2000-12-16
66,576,A Little Gasoline,82.0,2000-12-23
67,893,A Little Gasoline,88.0,2000-12-30
68,1210,A Little Gasoline,96.0,2001-01-06
69,1527,A Little Gasoline,99.0,2001-01-13
70,1844,A Little Gasoline,99.0,2001-01-20
71,103,A Puro Dolor (Purest Of Pain),80.0,2000-04-08
72,420,A Puro Dolor (Purest Of Pain),80.0,2000-04-15
73,737,A Puro Dolor (Purest Of Pain),80.0,2000-04-22
74,1054,A Puro Dolor (Purest Of Pain),79.0,2000-04-29
75,1371,A Puro Dolor (Purest Of Pain),72.0,2000-05-06
76,1688,A Puro Dolor (Purest Of Pain),73.0,2000-05-13
77,2005,A Puro Dolor (Purest Of Pain),65.0,2000-05-20
78,2322,A Puro Dolor (Purest Of Pain),64.0,2000-05-27
79,2639,A Puro Dolor (Purest Of Pain),60.0,2000-06-03
80,2956,A Puro Dolor (Purest Of Pain),60.0,2000-06-10
81,3273,A Puro Dolor (Purest Of Pain),48.0,2000-06-17
82,3590,A Puro Dolor (Purest Of Pain),48.0,2000-06-24
83,3907,A Puro Dolor (Purest Of Pain),48.0,2000-07-01
84,4224,A Puro Dolor (Purest Of Pain),43.0,2000-07-08
85,4541,A Puro Dolor (Purest Of Pain),35.0,2000-07-15
86,4858,A Puro Dolor (Purest Of Pain),32.0,2000-07-22
87,5175,A Puro Dolor (Purest Of Pain),30.0,2000-07-29
88,5492,A Puro Dolor (Purest Of Pain),32.0,2000-08-05
89,5809,A Puro Dolor (Purest Of Pain),37.0,2000-08-12
90,6126,A Puro Dolor (Purest Of Pain),26.0,2000-08-19
91,6443,A Puro Dolor (Purest Of Pain),31.0,2000-08-26
92,6760,A Puro Dolor (Purest Of Pain),28.0,2000-09-02
93,7077,A Puro Dolor (Purest Of Pain),30.0,2000-09-09
94,7394,A Puro Dolor (Purest Of Pain),32.0,2000-09-16
95,7711,A Puro Dolor (Purest Of Pain),39.0,2000-09-23
96,8028,A Puro Dolor (Purest Of Pain),35.0,2000-09-30
97,137,Aaron's Party (Come Get It),99.0,2000-08-26
98,454,Aaron's Party (Come Get It),75.0,2000-09-02
99,771,Aaron's Party (Come Get It),57.0,2000-09-09
100,1088,Aaron's Party (Come Get It),35.0,2000-09-16
101,1405,Aaron's Party (Come Get It),35.0,2000-09-23
102,1722,Aaron's Party (Come Get It),37.0,2000-09-30
103,2039,Aaron's Party (Come Get It),43.0,2000-10-07
104,2356,Aaron's Party (Come Get It),79.0,2000-10-14
105,2673,Aaron's Party (Come Get It),51.0,2000-10-21
106,2990,Aaron's Party (Come Get It),55.0,2000-10-28
107,3307,Aaron's Party (Come Get It),67.0,2000-11-04
108,3624,Aaron's Party (Come Get It),83.0,2000-11-11
109,3941,Aaron's Party (Come Get It),86.0,2000-11-18
110,4258,Aaron's Party (Come Get It),92.0,2000-11-25
111,4575,Aaron's Party (Come Get It),100.0,2000-12-02
112,40,Absolutely (Story Of A Girl),85.0,2000-05-06
113,357,Absolutely (Story Of A Girl),71.0,2000-05-13
114,674,Absolutely (Story Of A Girl),59.0,2000-05-20
115,991,Absolutely (Story Of A Girl),52.0,2000-05-27
116,1308,Absolutely (Story Of A Girl),39.0,2000-06-03
117,1625,Absolutely (Story Of A Girl),34.0,2000-06-10
118,1942,Absolutely (Story Of A Girl),26.0,2000-06-17
119,2259,Absolutely (Story Of A Girl),20.0,2000-06-24
120,2576,Absolutely (Story Of A Girl),17.0,2000-07-01
121,2893,Absolutely (Story Of A Girl),13.0,2000-07-08
122,3210,Absolutely (Story Of A Girl),11.0,2000-07-15
123,3527,Absolutely (Story Of A Girl),6.0,2000-07-22
124,3844,Absolutely (Story Of A Girl),6.0,2000-07-29
125,4161,Absolutely (Story Of A Girl),8.0,2000-08-05
126,4478,Absolutely (Story Of A Girl),8.0,2000-08-12
127,4795,Absolutely (Story Of A Girl),7.0,2000-08-19
128,5112,Absolutely (Story Of A Girl),8.0,2000-08-26
129,5429,Absolutely (Story Of A Girl),9.0,2000-09-02
130,5746,Absolutely (Story Of A Girl),11.0,2000-09-09
131,6063,Absolutely (Story Of A Girl),12.0,2000-09-16
132,6380,Absolutely (Story Of A Girl),14.0,2000-09-23
133,6697,Absolutely (Story Of A Girl),18.0,2000-09-30
134,7014,Absolutely (Story Of A Girl),26.0,2000-10-07
135,7331,Absolutely (Story Of A Girl),30.0,2000-10-14
136,7648,Absolutely (Story Of A Girl),36.0,2000-10-21
137,7965,Absolutely (Story Of A Girl),41.0,2000-10-28
138,8282,Absolutely (Story Of A Girl),48.0,2000-11-04
139,306,All Good?,96.0,2000-12-23
140,623,All Good?,96.0,2000-12-30
141,940,All Good?,100.0,2001-01-06
142,42,All The Small Things,89.0,1999-12-04
143,359,All The Small Things,76.0,1999-12-11
144,676,All The Small Things,69.0,1999-12-18
145,993,All The Small Things,59.0,1999-12-25
146,1310,All The Small Things,59.0,2000-01-01
147,1627,All The Small Things,51.0,2000-01-08
148,1944,All The Small Things,50.0,2000-01-15
149,2261,All The Small Things,35.0,2000-01-22
150,2578,All The Small Things,26.0,2000-01-29
151,2895,All The Small Things,15.0,2000-02-05
152,3212,All The Small Things,7.0,2000-02-12
153,3529,All The Small Things,6.0,2000-02-19
154,3846,All The Small Things,8.0,2000-02-26
155,4163,All The Small Things,8.0,2000-03-04
156,4480,All The Small Things,9.0,2000-03-11
157,4797,All The Small Things,11.0,2000-03-18
158,5114,All The Small Things,14.0,2000-03-25
159,5431,All The Small Things,16.0,2000-04-01
160,5748,All The Small Things,18.0,2000-04-08
161,6065,All The Small Things,23.0,2000-04-15
162,6382,All The Small Things,33.0,2000-04-22
163,6699,All The Small Things,41.0,2000-04-29
164,7016,All The Small Things,43.0,2000-05-06
165,9,Amazed,81.0,1999-06-05
166,326,Amazed,54.0,1999-06-12
167,643,Amazed,44.0,1999-06-19
168,960,Amazed,39.0,1999-06-26
169,1277,Amazed,38.0,1999-07-03
170,1594,Amazed,33.0,1999-07-10
171,1911,Amazed,29.0,1999-07-17
172,2228,Amazed,29.0,1999-07-24
173,2545,Amazed,32.0,1999-07-31
174,2862,Amazed,27.0,1999-08-07
175,3179,Amazed,26.0,1999-08-14
176,3496,Amazed,24.0,1999-08-21
177,3813,Amazed,27.0,1999-08-28
178,4130,Amazed,32.0,1999-09-04
179,4447,Amazed,33.0,1999-09-11
180,4764,Amazed,35.0,1999-09-18
181,5081,Amazed,35.0,1999-09-25
182,5398,Amazed,40.0,1999-10-02
183,5715,Amazed,43.0,1999-10-09
184,6032,Amazed,50.0,1999-10-16
185,9202,Amazed,45.0,1999-12-25
186,9519,Amazed,45.0,2000-01-01
187,9836,Amazed,45.0,2000-01-08
188,10153,Amazed,23.0,2000-01-15
189,10470,Amazed,17.0,2000-01-22
190,10787,Amazed,14.0,2000-01-29
191,11104,Amazed,17.0,2000-02-05
192,11421,Amazed,18.0,2000-02-12
193,11738,Amazed,18.0,2000-02-19
194,12055,Amazed,3.0,2000-02-26
195,12372,Amazed,1.0,2000-03-04
196,12689,Amazed,1.0,2000-03-11
197,13006,Amazed,2.0,2000-03-18
198,13323,Amazed,3.0,2000-03-25
199,13640,Amazed,4.0,2000-04-01
200,13957,Amazed,4.0,2000-04-08
201,14274,Amazed,5.0,2000-04-15
202,14591,Amazed,6.0,2000-04-22
203,14908,Amazed,8.0,2000-04-29
204,15225,Amazed,9.0,2000-05-06
205,15542,Amazed,10.0,2000-05-13
206,15859,Amazed,12.0,2000-05-20
207,16176,Amazed,15.0,2000-05-27
208,16493,Amazed,20.0,2000-06-03
209,16810,Amazed,22.0,2000-06-10
210,17127,Amazed,22.0,2000-06-17
211,17444,Amazed,25.0,2000-06-24
212,17761,Amazed,26.0,2000-07-01
213,18078,Amazed,31.0,2000-07-08
214,18395,Amazed,32.0,2000-07-15
215,18712,Amazed,37.0,2000-07-22
216,19029,Amazed,42.0,2000-07-29
217,19346,Amazed,42.0,2000-08-05
218,19663,Amazed,45.0,2000-08-12
219,19980,Amazed,50.0,2000-08-19
220,117,American Pie,43.0,2000-02-19
221,434,American Pie,35.0,2000-02-26
222,751,American Pie,29.0,2000-03-04
223,1068,American Pie,29.0,2000-03-11
224,1385,American Pie,33.0,2000-03-18
225,1702,American Pie,32.0,2000-03-25
226,2019,American Pie,40.0,2000-04-01
227,2336,American Pie,58.0,2000-04-08
228,2653,American Pie,88.0,2000-04-15
229,186,Angels,85.0,1999-11-20
230,503,Angels,77.0,1999-11-27
231,820,Angels,69.0,1999-12-04
232,1137,Angels,69.0,1999-12-11
233,1454,Angels,62.0,1999-12-18
234,1771,Angels,56.0,1999-12-25
235,2088,Angels,56.0,2000-01-01
236,2405,Angels,64.0,2000-01-08
237,2722,Angels,54.0,2000-01-15
238,3039,Angels,53.0,2000-01-22
239,3356,Angels,72.0,2000-01-29
240,3673,Angels,83.0,2000-02-05
241,3990,Angels,81.0,2000-02-12
242,4307,Angels,88.0,2000-02-19
243,4624,Angels,96.0,2000-02-26
244,4941,Angels,93.0,2000-03-04
245,5258,Angels,91.0,2000-03-11
246,5575,Angels,89.0,2000-03-18
247,5892,Angels,95.0,2000-03-25
248,110,Another Dumb Blonde,69.0,2000-02-19
249,427,Another Dumb Blonde,49.0,2000-02-26
250,744,Another Dumb Blonde,49.0,2000-03-04
251,1061,Another Dumb Blonde,34.0,2000-03-11
252,1378,Another Dumb Blonde,34.0,2000-03-18
253,1695,Another Dumb Blonde,34.0,2000-03-25
254,2012,Another Dumb Blonde,30.0,2000-04-01
255,2329,Another Dumb Blonde,27.0,2000-04-08
256,2646,Another Dumb Blonde,36.0,2000-04-15
257,2963,Another Dumb Blonde,41.0,2000-04-22
258,3280,Another Dumb Blonde,53.0,2000-04-29
259,3597,Another Dumb Blonde,56.0,2000-05-06
260,3914,Another Dumb Blonde,80.0,2000-05-13
261,4231,Another Dumb Blonde,100.0,2000-05-20
262,254,Another Nine Minutes,86.0,2000-04-29
263,571,Another Nine Minutes,83.0,2000-05-06
264,888,Another Nine Minutes,77.0,2000-05-13
265,1205,Another Nine Minutes,74.0,2000-05-20
266,1522,Another Nine Minutes,83.0,2000-05-27
267,1839,Another Nine Minutes,79.0,2000-06-03
268,2156,Another Nine Minutes,88.0,2000-06-10
269,2473,Another Nine Minutes,95.0,2000-06-17
270,192,Anything,72.0,2000-02-26
271,509,Anything,58.0,2000-03-04
272,826,Anything,55.0,2000-03-11
273,1143,Anything,55.0,2000-03-18
274,1460,Anything,63.0,2000-03-25
275,1777,Anything,74.0,2000-04-01
276,2094,Anything,86.0,2000-04-08
277,2411,Anything,92.0,2000-04-15
278,229,As We Lay,82.0,2000-07-15
279,546,As We Lay,69.0,2000-07-22
280,863,As We Lay,69.0,2000-07-29
281,1180,As We Lay,64.0,2000-08-05
282,1497,As We Lay,71.0,2000-08-12
283,1814,As We Lay,79.0,2000-08-19
284,2131,As We Lay,82.0,2000-08-26
285,2448,As We Lay,89.0,2000-09-02
286,49,Auld Lang Syne (The Millenium Mix),89.0,1999-12-25
287,366,Auld Lang Syne (The Millenium Mix),89.0,2000-01-01
288,683,Auld Lang Syne (The Millenium Mix),7.0,2000-01-08
289,1000,Auld Lang Syne (The Millenium Mix),8.0,2000-01-15
290,1317,Auld Lang Syne (The Millenium Mix),66.0,2000-01-22
291,246,Baby Don't Cry (Keep Ya Head Up II),87.0,2000-02-26
292,563,Baby Don't Cry (Keep Ya Head Up II),82.0,2000-03-04
293,880,Baby Don't Cry (Keep Ya Head Up II),72.0,2000-03-11
294,1197,Baby Don't Cry (Keep Ya Head Up II),77.0,2000-03-18
295,1514,Baby Don't Cry (Keep Ya Head Up II),87.0,2000-03-25
296,1831,Baby Don't Cry (Keep Ya Head Up II),94.0,2000-04-01
297,2148,Baby Don't Cry (Keep Ya Head Up II),99.0,2000-04-08
298,294,Baby U Are,96.0,2000-08-19
299,611,Baby U Are,89.0,2000-08-26
300,928,Baby U Are,92.0,2000-09-02
301,1245,Baby U Are,96.0,2000-09-09
302,1562,Baby U Are,96.0,2000-09-16
303,140,Back At One,89.0,2000-01-15
304,457,Back At One,55.0,2000-01-22
305,774,Back At One,51.0,2000-01-29
306,1091,Back At One,43.0,2000-02-05
307,1408,Back At One,37.0,2000-02-12
308,1725,Back At One,37.0,2000-02-19
309,2042,Back At One,36.0,2000-02-26
310,2359,Back At One,39.0,2000-03-04
311,2676,Back At One,42.0,2000-03-11
312,2993,Back At One,46.0,2000-03-18
313,3310,Back At One,45.0,2000-03-25
314,3627,Back At One,52.0,2000-04-01
315,3944,Back At One,64.0,2000-04-08
316,4261,Back At One,74.0,2000-04-15
317,4578,Back At One,84.0,2000-04-22
318,4895,Back At One,90.0,2000-04-29
319,5212,Back At One,94.0,2000-05-06
320,5529,Back At One,99.0,2000-05-13
321,62,Back Here,99.0,2000-04-29
322,379,Back Here,86.0,2000-05-06
323,696,Back Here,60.0,2000-05-13
324,1013,Back Here,52.0,2000-05-20
325,1330,Back Here,38.0,2000-05-27
326,1647,Back Here,34.0,2000-06-03
327,1964,Back Here,28.0,2000-06-10
328,2281,Back Here,21.0,2000-06-17
329,2598,Back Here,18.0,2000-06-24
330,2915,Back Here,18.0,2000-07-01
331,3232,Back Here,19.0,2000-07-08
332,3549,Back Here,15.0,2000-07-15
333,3866,Back Here,18.0,2000-07-22
334,4183,Back Here,13.0,2000-07-29
335,4500,Back Here,16.0,2000-08-05
336,4817,Back Here,15.0,2000-08-12
337,5134,Back Here,16.0,2000-08-19
338,5451,Back Here,16.0,2000-08-26
339,5768,Back Here,17.0,2000-09-02
340,6085,Back Here,15.0,2000-09-09
341,6402,Back Here,18.0,2000-09-16
342,6719,Back Here,17.0,2000-09-23
343,7036,Back Here,16.0,2000-09-30
344,7353,Back Here,22.0,2000-10-07
345,7670,Back Here,24.0,2000-10-14
346,7987,Back Here,30.0,2000-10-21
347,8304,Back Here,36.0,2000-10-28
348,8621,Back Here,37.0,2000-11-04
349,8938,Back Here,42.0,2000-11-11
350,9255,Back Here,45.0,2000-11-18
351,9572,Back Here,49.0,2000-11-25
352,201,Bad Boyz,94.0,2000-09-09
353,518,Bad Boyz,87.0,2000-09-16
354,835,Bad Boyz,90.0,2000-09-23
355,1152,Bad Boyz,90.0,2000-09-30
356,1469,Bad Boyz,82.0,2000-10-07
357,1786,Bad Boyz,67.0,2000-10-14
358,2103,Bad Boyz,61.0,2000-10-21
359,2420,Bad Boyz,57.0,2000-10-28
360,2737,Bad Boyz,71.0,2000-11-04
361,3054,Bad Boyz,78.0,2000-11-11
362,3371,Bad Boyz,74.0,2000-11-18
363,3688,Bad Boyz,81.0,2000-11-25
364,4005,Bad Boyz,88.0,2000-12-02
365,4322,Bad Boyz,96.0,2000-12-09
366,4639,Bad Boyz,100.0,2000-12-16
367,44,Bag Lady,67.0,2000-08-19
368,361,Bag Lady,53.0,2000-08-26
369,678,Bag Lady,42.0,2000-09-02
370,995,Bag Lady,41.0,2000-09-09
371,1312,Bag Lady,48.0,2000-09-16
372,1629,Bag Lady,42.0,2000-09-23
373,1946,Bag Lady,34.0,2000-09-30
374,2263,Bag Lady,6.0,2000-10-07
375,2580,Bag Lady,9.0,2000-10-14
376,2897,Bag Lady,9.0,2000-10-21
377,3214,Bag Lady,8.0,2000-10-28
378,3531,Bag Lady,11.0,2000-11-04
379,3848,Bag Lady,15.0,2000-11-11
380,4165,Bag Lady,21.0,2000-11-18
381,4482,Bag Lady,26.0,2000-11-25
382,4799,Bag Lady,29.0,2000-12-02
383,5116,Bag Lady,26.0,2000-12-09
384,5433,Bag Lady,38.0,2000-12-16
385,5750,Bag Lady,56.0,2000-12-23
386,6067,Bag Lady,66.0,2000-12-30
387,7,Be With You,63.0,2000-04-01
388,324,Be With You,45.0,2000-04-08
389,641,Be With You,34.0,2000-04-15
390,958,Be With You,23.0,2000-04-22
391,1275,Be With You,17.0,2000-04-29
392,1592,Be With You,12.0,2000-05-06
393,1909,Be With You,9.0,2000-05-13
394,2226,Be With You,8.0,2000-05-20
395,2543,Be With You,8.0,2000-05-27
396,2860,Be With You,6.0,2000-06-03
397,3177,Be With You,5.0,2000-06-10
398,3494,Be With You,4.0,2000-06-17
399,3811,Be With You,1.0,2000-06-24
400,4128,Be With You,1.0,2000-07-01
401,4445,Be With You,1.0,2000-07-08
402,4762,Be With You,3.0,2000-07-15
403,5079,Be With You,11.0,2000-07-22
404,5396,Be With You,14.0,2000-07-29
405,5713,Be With You,24.0,2000-08-05
406,6030,Be With You,28.0,2000-08-12
407,187,Because You Love Me,83.0,2000-01-29
408,504,Because You Love Me,78.0,2000-02-05
409,821,Because You Love Me,71.0,2000-02-12
410,1138,Because You Love Me,71.0,2000-02-19
411,1455,Because You Love Me,66.0,2000-02-26
412,1772,Because You Love Me,55.0,2000-03-04
413,2089,Because You Love Me,53.0,2000-03-11
414,2406,Because You Love Me,57.0,2000-03-18
415,2723,Because You Love Me,61.0,2000-03-25
416,3040,Because You Love Me,61.0,2000-04-01
417,3357,Because You Love Me,61.0,2000-04-08
418,3674,Because You Love Me,72.0,2000-04-15
419,3991,Because You Love Me,93.0,2000-04-22
420,163,Been There,87.0,2000-02-19
421,480,Been There,73.0,2000-02-26
422,797,Been There,62.0,2000-03-04
423,1114,Been There,58.0,2000-03-11
424,1431,Been There,58.0,2000-03-18
425,1748,Been There,57.0,2000-03-25
426,2065,Been There,51.0,2000-04-01
427,2382,Been There,47.0,2000-04-08
428,2699,Been There,44.0,2000-04-15
429,3016,Been There,44.0,2000-04-22
430,3333,Been There,44.0,2000-04-29
431,3650,Been There,55.0,2000-05-06
432,3967,Been There,53.0,2000-05-13
433,4284,Been There,53.0,2000-05-20
434,4601,Been There,63.0,2000-05-27
435,4918,Been There,84.0,2000-06-03
436,5235,Been There,85.0,2000-06-10
437,5552,Been There,87.0,2000-06-17
438,5869,Been There,95.0,2000-06-24
439,6186,Been There,100.0,2000-07-01
440,15,Bent,60.0,2000-04-29
441,332,Bent,37.0,2000-05-06
442,649,Bent,29.0,2000-05-13
443,966,Bent,24.0,2000-05-20
444,1283,Bent,22.0,2000-05-27
445,1600,Bent,21.0,2000-06-03
446,1917,Bent,18.0,2000-06-10
447,2234,Bent,16.0,2000-06-17
448,2551,Bent,13.0,2000-06-24
449,2868,Bent,12.0,2000-07-01
450,3185,Bent,8.0,2000-07-08
451,3502,Bent,6.0,2000-07-15
452,3819,Bent,1.0,2000-07-22
453,4136,Bent,2.0,2000-07-29
454,4453,Bent,3.0,2000-08-05
455,4770,Bent,2.0,2000-08-12
456,5087,Bent,2.0,2000-08-19
457,5404,Bent,3.0,2000-08-26
458,5721,Bent,4.0,2000-09-02
459,6038,Bent,5.0,2000-09-09
460,6355,Bent,4.0,2000-09-16
461,6672,Bent,4.0,2000-09-23
462,6989,Bent,6.0,2000-09-30
463,7306,Bent,9.0,2000-10-07
464,7623,Bent,12.0,2000-10-14
465,7940,Bent,13.0,2000-10-21
466,8257,Bent,19.0,2000-10-28
467,8574,Bent,20.0,2000-11-04
468,8891,Bent,20.0,2000-11-11
469,9208,Bent,24.0,2000-11-18
470,9525,Bent,29.0,2000-11-25
471,9842,Bent,28.0,2000-12-02
472,10159,Bent,27.0,2000-12-09
473,10476,Bent,30.0,2000-12-16
474,10793,Bent,33.0,2000-12-23
475,11110,Bent,37.0,2000-12-30
476,11427,Bent,38.0,2001-01-06
477,11744,Bent,38.0,2001-01-13
478,12061,Bent,48.0,2001-01-20
479,209,Best Friend,65.0,2000-02-12
480,526,Best Friend,59.0,2000-02-19
481,843,Best Friend,62.0,2000-02-26
482,1160,Best Friend,79.0,2000-03-04
483,1477,Best Friend,99.0,2000-03-11
484,108,Best Of Intentions,97.0,2000-08-19
485,425,Best Of Intentions,86.0,2000-08-26
486,742,Best Of Intentions,79.0,2000-09-02
487,1059,Best Of Intentions,70.0,2000-09-09
488,1376,Best Of Intentions,63.0,2000-09-16
489,1693,Best Of Intentions,56.0,2000-09-23
490,2010,Best Of Intentions,50.0,2000-09-30
491,2327,Best Of Intentions,48.0,2000-10-07
492,2644,Best Of Intentions,51.0,2000-10-14
493,2961,Best Of Intentions,38.0,2000-10-21
494,3278,Best Of Intentions,33.0,2000-10-28
495,3595,Best Of Intentions,31.0,2000-11-04
496,3912,Best Of Intentions,28.0,2000-11-11
497,4229,Best Of Intentions,28.0,2000-11-18
498,4546,Best Of Intentions,28.0,2000-11-25
499,4863,Best Of Intentions,27.0,2000-12-02
500,5180,Best Of Intentions,29.0,2000-12-09
501,5497,Best Of Intentions,31.0,2000-12-16
502,5814,Best Of Intentions,37.0,2000-12-23
503,6131,Best Of Intentions,45.0,2000-12-30
504,6448,Best Of Intentions,49.0,2001-01-06
505,6765,Best Of Intentions,48.0,2001-01-13
506,109,Better Off Alone,79.0,2000-04-08
507,426,Better Off Alone,65.0,2000-04-15
508,743,Better Off Alone,53.0,2000-04-22
509,1060,Better Off Alone,48.0,2000-04-29
510,1377,Better Off Alone,45.0,2000-05-06
511,1694,Better Off Alone,36.0,2000-05-13
512,2011,Better Off Alone,34.0,2000-05-20
513,2328,Better Off Alone,29.0,2000-05-27
514,2645,Better Off Alone,27.0,2000-06-03
515,2962,Better Off Alone,30.0,2000-06-10
516,3279,Better Off Alone,36.0,2000-06-17
517,3596,Better Off Alone,37.0,2000-06-24
518,3913,Better Off Alone,39.0,2000-07-01
519,4230,Better Off Alone,49.0,2000-07-08
520,4547,Better Off Alone,57.0,2000-07-15
521,4864,Better Off Alone,63.0,2000-07-22
522,5181,Better Off Alone,65.0,2000-07-29
523,5498,Better Off Alone,68.0,2000-08-05
524,5815,Better Off Alone,79.0,2000-08-12
525,6132,Better Off Alone,86.0,2000-08-19
526,54,Between Me And You,85.0,2000-09-16
527,371,Between Me And You,74.0,2000-09-23
528,688,Between Me And You,61.0,2000-09-30
529,1005,Between Me And You,37.0,2000-10-07
530,1322,Between Me And You,27.0,2000-10-14
531,1639,Between Me And You,22.0,2000-10-21
532,1956,Between Me And You,22.0,2000-10-28
533,2273,Between Me And You,16.0,2000-11-04
534,2590,Between Me And You,14.0,2000-11-11
535,2907,Between Me And You,11.0,2000-11-18
536,3224,Between Me And You,11.0,2000-11-25
537,3541,Between Me And You,14.0,2000-12-02
538,3858,Between Me And You,17.0,2000-12-09
539,4175,Between Me And You,18.0,2000-12-16
540,4492,Between Me And You,18.0,2000-12-23
541,4809,Between Me And You,21.0,2000-12-30
542,5126,Between Me And You,30.0,2001-01-06
543,5443,Between Me And You,30.0,2001-01-13
544,5760,Between Me And You,42.0,2001-01-20
545,6077,Between Me And You,53.0,2001-01-27
546,90,Big Deal,71.0,1999-10-16
547,407,Big Deal,52.0,1999-10-23
548,724,Big Deal,51.0,1999-10-30
549,1041,Big Deal,51.0,1999-11-06
550,1358,Big Deal,51.0,1999-11-13
551,1675,Big Deal,48.0,1999-11-20
552,1992,Big Deal,41.0,1999-11-27
553,2309,Big Deal,37.0,1999-12-04
554,2626,Big Deal,29.0,1999-12-11
555,2943,Big Deal,26.0,1999-12-18
556,3260,Big Deal,26.0,1999-12-25
557,3577,Big Deal,23.0,2000-01-01
558,3894,Big Deal,30.0,2000-01-08
559,4211,Big Deal,28.0,2000-01-15
560,4528,Big Deal,27.0,2000-01-22
561,4845,Big Deal,25.0,2000-01-29
562,5162,Big Deal,31.0,2000-02-05
563,5479,Big Deal,43.0,2000-02-12
564,5796,Big Deal,56.0,2000-02-19
565,6113,Big Deal,70.0,2000-02-26
566,71,Big Pimpin',69.0,2000-04-22
567,388,Big Pimpin',52.0,2000-04-29
568,705,Big Pimpin',39.0,2000-05-06
569,1022,Big Pimpin',33.0,2000-05-13
570,1339,Big Pimpin',28.0,2000-05-20
571,1656,Big Pimpin',25.0,2000-05-27
572,1973,Big Pimpin',25.0,2000-06-03
573,2290,Big Pimpin',23.0,2000-06-10
574,2607,Big Pimpin',20.0,2000-06-17
575,2924,Big Pimpin',19.0,2000-06-24
576,3241,Big Pimpin',21.0,2000-07-01
577,3558,Big Pimpin',18.0,2000-07-08
578,3875,Big Pimpin',20.0,2000-07-15
579,4192,Big Pimpin',20.0,2000-07-22
580,4509,Big Pimpin',26.0,2000-07-29
581,4826,Big Pimpin',29.0,2000-08-05
582,5143,Big Pimpin',35.0,2000-08-12
583,5460,Big Pimpin',33.0,2000-08-19
584,5777,Big Pimpin',41.0,2000-08-26
585,6094,Big Pimpin',50.0,2000-09-02
